Transaction_Text,Label,source
UPI/uberindia/utr9284736/cab ride,Travel,noisy_labelable
upi-swiggyinstamart-order-payment-4521,Food,noisy_labelable
NEFT DR HDFC0001234 HOME LOAN EMI JUL,EMI,noisy_labelable
IMPS/zerodha broking/equity delivery,Investment,noisy_labelable
POS AMAZON.IN MUMBAI IN,Shopping,noisy_labelable
UPI/oindia/ola cabs/ride fare payment,Travel,noisy_labelable
ECS RETURN SBI CARLOAN INSTALLMENT,EMI,noisy_labelable
upi/mcdonalds/food order/ref8827,Food,noisy_labelable
NACH DR BAJAJFIN EMI AUG26,EMI,noisy_labelable
UPI-GROWWINVEST-SIP-MUTUALFUND,Investment,noisy_labelable
txn: myntra fashion order paid via upi,Shopping,noisy_labelable
IRCTC RAILWAY TICKET BOOKING PNR4471,Travel,noisy_labelable
upi/zomato/dinner order/completed,Food,noisy_labelable
SIP DEBIT MF PURCHASE HDFC AMC,Investment,noisy_labelable
POS TXN FLIPKART INTERNET PVT LTD,Shopping,noisy_labelable
UPI/petrolbunk/fuel/iocl station,Travel,noisy_labelable
PPF A/C CONTRIBUTION FY2526,Investment,noisy_labelable
upi/dominos pizza/order paid,Food,noisy_labelable
EMI AUTODEBIT PERSONAL LOAN HDFC,EMI,noisy_labelable
UPI/redbus/bus booking/confirmed,Travel,noisy_labelable
txn cafe coffee day upi payment,Food,noisy_labelable
NACH SBI CAR LOAN EMI DEDUCTED,EMI,noisy_labelable
UPI/reliancedigital/electronics/paid,Shopping,noisy_labelable
indigo airlines ticket upi payment,Travel,noisy_labelable
FD BOOKING SBI FIXED DEPOSIT,Investment,noisy_labelable
