transaction_id,date,counterparty,amount,category,category_confidence,status,raw_text,original_category,classification_source
TXN100000,2026-07-21,HDFC home loan EMI,24184.98,EMI,0.9918,Settled,HDFC home loan EMI | Ref:68c35030 | Amount: INR 24184.98,EMI,Model
TXN100001,2026-07-10,Amazon online shopping,29339.81,Shopping,0.9887,Pending,Amazon online shopping | Ref:0e1e277d | Amount: INR 29339.81,Shopping,Model
TXN100002,2026-07-26,SIP investment in mutual fund,6212.97,Investment,0.9896,Settled,SIP investment in mutual fund | Ref:aba63413 | Amount: INR 6212.97,Investment,Model
TXN100003,2026-08-11,Cafe coffee purchase at,20275.52,Food,0.973,Settled,Cafe coffee purchase at | Ref:2bbd4348 | Amount: INR 20275.52,Food,Model
TXN100004,2026-07-04,SBI car loan EMI,6484.62,EMI,0.9923,Failed,SBI car loan EMI | Ref:613c7ae6 | Amount: INR 6484.62,EMI,Model
TXN100005,2026-07-05,McDonald's meal payment,13156.61,Food,0.9734,Settled,McDonald's meal payment | Ref:a781614b | Amount: INR 13156.61,Food,Model
TXN100006,2026-08-04,Personal loan EMI deduction,40525.16,EMI,0.9916,Settled,Personal loan EMI deduction | Ref:71ea9a25 | Amount: INR 40525.16,EMI,Model
TXN100007,2026-07-07,Credit card EMI installment,143.95,EMI,0.9905,Settled,Credit card EMI installment | Ref:59ba432e | Amount: INR 143.95,EMI,Model
TXN100008,2026-07-24,HDFC home loan EMI,45837.85,EMI,0.9918,Settled,HDFC home loan EMI | Ref:30d2e9e2 | Amount: INR 45837.85,EMI,Model
TXN100009,2026-08-07,Personal loan EMI deduction,42967.01,EMI,0.9916,Settled,Personal loan EMI deduction | Ref:4ad8153e | Amount: INR 42967.01,EMI,Model
TXN100010,2026-07-04,IOCL FUEL STATION AHMEDABAD,45503.26,Travel,0.9027,Settled,IOCL FUEL STATION AHMEDABAD,Travel,Model
TXN100011,2026-07-14,Cafe coffee purchase at,986.17,Food,0.973,Pending,Cafe coffee purchase at | Ref:09e7ef14 | Amount: INR 986.17,Food,Model
TXN100012,2026-07-03,urban company service payment,4480.17,Shopping,0.5747,Settled,urban company service payment,Shopping,Model
TXN100013,2026-07-27,Personal loan EMI deduction,40530.59,EMI,0.9916,Settled,Personal loan EMI deduction | Ref:303d2f51 | Amount: INR 40530.59,EMI,Model
TXN100014,2026-07-05,Bajaj Finserv EMI payment,36760.48,EMI,0.9867,Settled,Bajaj Finserv EMI payment | Ref:1eb8accc | Amount: INR 36760.48,EMI,Model
TXN100015,2026-07-16,Zomato dinner bill,18003.31,Food,0.98,Pending,Zomato dinner bill | Ref:b6cf02e3 | Amount: INR 18003.31,Food,Model
TXN100016,2026-07-06,McDonald's meal payment,37422.19,Food,0.9734,Settled,McDonald's meal payment | Ref:30b0359b | Amount: INR 37422.19,Food,Model
TXN100017,2026-08-05,IRCTC train ticket booking,4579.36,Travel,0.9866,Settled,IRCTC train ticket booking | Ref:35abeada | Amount: INR 4579.36,Travel,Model
TXN100018,2026-07-28,McDonald's meal payment,13017.81,Food,0.9734,Failed,McDonald's meal payment | Ref:a16ea43e | Amount: INR 13017.81,Food,Model
TXN100019,2026-07-04,Ola cab fare,2364.29,Travel,0.9753,Settled,Ola cab fare | Ref:19fb6f0b | Amount: INR 2364.29,Travel,Model
TXN100020,2026-08-06,Cafe coffee purchase at,42123.78,Food,0.973,Settled,Cafe coffee purchase at | Ref:52f51fe4 | Amount: INR 42123.78,Food,Model
TXN100021,2026-07-08,upi/dominos pizza/order paid,47383.0,Food,0.9201,Failed,upi/dominos pizza/order paid,Food,Model
TXN100022,2026-08-10,IKEA furniture shopping,46340.97,Shopping,0.9833,Settled,IKEA furniture shopping | Ref:38b84d11 | Amount: INR 46340.97,Shopping,Model
TXN100023,2026-08-10,Petrol pump fuel payment,15310.75,Travel,0.9743,Settled,Petrol pump fuel payment | Ref:51e976ea | Amount: INR 15310.75,Travel,Model
TXN100024,2026-08-07,Zerodha stock purchase,47573.45,Investment,0.9757,Pending,Zerodha stock purchase | Ref:59fc4785 | Amount: INR 47573.45,Investment,Model
TXN100025,2026-07-04,RedBus bus ticket,48863.83,Travel,0.9716,Settled,RedBus bus ticket | Ref:25767c60 | Amount: INR 48863.83,Travel,Model
TXN100026,2026-08-06,MMT HOTEL STAY HYDERABAD,29359.96,Travel,0.8631,Settled,MMT HOTEL STAY HYDERABAD,Travel,Model
TXN100027,2026-07-04,PPF contribution,39386.46,Investment,0.9822,Pending,PPF contribution | Ref:a3ba4c89 | Amount: INR 39386.46,Investment,Model
TXN100028,2026-07-15,HDFC home loan EMI,47243.42,EMI,0.9918,Settled,HDFC home loan EMI | Ref:ead34200 | Amount: INR 47243.42,EMI,Model
TXN100029,2026-07-03,McDonald's meal payment,5141.69,Food,0.9734,Settled,McDonald's meal payment | Ref:742dccd9 | Amount: INR 5141.69,Food,Model
TXN100030,2026-08-05,MakeMyTrip hotel booking,40900.09,Travel,0.9836,Settled,MakeMyTrip hotel booking | Ref:bfc48966 | Amount: INR 40900.09,Travel,Model
TXN100031,2026-07-09,Petrol pump fuel payment,44551.4,Travel,0.9743,Settled,Petrol pump fuel payment | Ref:cca8da5a | Amount: INR 44551.4,Travel,Model
TXN100032,2026-07-19,sovereign gold bond purchase,21073.12,Investment,0.7069,Settled,sovereign gold bond purchase,Investment,Model
TXN100033,2026-08-04,MakeMyTrip hotel booking,24439.34,Travel,0.9836,Settled,MakeMyTrip hotel booking | Ref:bdd83087 | Amount: INR 24439.34,Travel,Model
TXN100034,2026-07-08,SBI car loan EMI,47431.75,EMI,0.9923,Settled,SBI car loan EMI | Ref:96908495 | Amount: INR 47431.75,EMI,Model
TXN100035,2026-08-06,McDonald's meal payment,25092.96,Food,0.9734,Pending,McDonald's meal payment | Ref:2b1a7571 | Amount: INR 25092.96,Food,Model
TXN100036,2026-07-20,McDonald's meal payment,48601.14,Food,0.9734,Pending,McDonald's meal payment | Ref:87ffc671 | Amount: INR 48601.14,Food,Model
